beetle_id,taxon_id,family,genus,specific_epithet,scientific_name,scientific_name_authorship
174,32745,Anthribidae,Trigonorhinus,,"Trigonorhinus T.V.Wollaston, 1861",
175,29798,Anthribidae,Ormiscus,,"Ormiscus G.R.Waterhouse, 1845",
176,17528,Anthribidae,,,Anthribidae,
177,1202630,Curculionidae,Hadromeropsis,argentinensis,"Hadromeropsis argentinensis (Hustache, 1926)",
178,593999,Belidae,Notorhopalotria,,Notorhopalotria,
179,13784,Curculionidae,Naupactus,rivulosus,"Naupactus rivulosus (Olivier, 1790)",
180,294611,Anthribidae,Phaenithon,,"Phaenithon C.J.Schoenherr, 1826",
181,1169643,Anthribidae,Euparius,clitelliger,"Euparius clitelliger Fahraeus, 1839",
182,1419669,Curculionidae,Phanasora,benoisti,"Phanasora benoisti (Hustache, 1939)",
183,484435,Curculionidae,Claeoteges,obliterata,"Claeoteges obliterata Champion, 1911",
184,1325713,Dryophthoridae,Metamasius,hebetatus,"Metamasius hebetatus Champion, 1910",
185,645956,Dryophthoridae,Rhinostomus,barbirostris,"Rhinostomus barbirostris (J.C.Fabricius, 1775)",
186,1467163,Curculionidae,Pteracanthus,smidtii,"Pteracanthus smidtii (J.C.Fabricius, 1802)",
187,486155,Curculionidae,Platyomus,zebra,"Platyomus zebra Champion, 1911",
188,1506910,Curculionidae,Rhinospathe,v-album,"Rhinospathe v-album Champion, 1911",
189,31615,Dryophthoridae,Rhodobaenus,pustulosus,"Rhodobaenus pustulosus W.S.Blatchley & C.W.Leng, 1916",
190,1325702,Dryophthoridae,Metamasius,dimidiatipennis,"Metamasius dimidiatipennis G.C.Champion, 1910",
191,800274,Curculionidae,Claeoteges,tuberculosa,"Claeoteges tuberculosa Champion, 1911",
192,1636690,Curculionidae,Lachnopus,vanessablockae,"Lachnopus vanessablockae Girón & O'Brien, 2018",
193,1632248,Anthribidae,Meconemus,,"Meconemus D.Labram & L.Imhoff, 1838",
194,928647,Anthribidae,Holostilpna,,"Holostilpna K.Jordan, 1907",
195,1176668,Anthribidae,Eusphyrus,circulus,"Eusphyrus circulus Jordan, 1906",
196,1351397,Anthribidae,Nemotrichus,spilotus,"Nemotrichus spilotus Jordan, 1906",
197,916992,Anthribidae,Brevibarra,,"Brevibarra K.Jordan, 1906",
198,55876,Anthribidae,Toxonotus,fascicularis,"Toxonotus fascicularis Schoenherr, 1833",
199,484397,Curculionidae,Promecops,leucothyreus,"Promecops leucothyreus Fåhraeus, 1840",
200,760653,Attelabidae,Auletobius,guadelupensis,"Auletobius guadelupensis Hustache, 1930",
201,759513,Curculionidae,Atrichis,costirostris,"Atrichis costirostris Champion, 1905",
202,656322,Curculionidae,Apocnemidophorus,,"Apocnemidophorus A.Hustache, 1937",
203,28747,Dryophthoridae,Sphenophorus,spinolae,"Metamasius spinolae (Gyllenhal, 1838)",
204,1507935,Dryophthoridae,Rhodobaenus,cinctus,"Rhodobaenus cinctus G.C.Champion, 1910",
205,484430,Curculionidae,Exophthalmus,verecundus,"Exophthalmus verecundus (Chevrolat, 1833)",
206,484393,Curculionidae,Eucoleocerus,fuscovarius,"Eucoleocerus fuscovarius Champion, 1911",
207,1153257,Curculionidae,Epicaerus,pedestris,"Epicaerus pedestris Sharp, 1891",
208,5159,Curculionidae,Copturus,,"Copturus C.J.Schoenherr, 1825",
209,32590,Anthribidae,Toxonotus,,"Toxonotus T.Lacordaire, 1865",
210,26851,Anthribidae,Eusphyrus,,"Eusphyrus J.L.LeConte, 1876",
211,655763,Curculionidae,Rhyssomatus,subcostatus,"Rhyssomatus subcostatus Fåhraeus, 1837",
212,655229,Curculionidae,Trichodocerus,,"Trichodocerus L.A.A.Chevrolat, 1879",
213,496670,Anthribidae,Euparius,torquatus,"Euparius torquatus Jekel, 1855",
214,30372,Anthribidae,Piesocorynus,,"Piesocorynus Dejean & P.F.M.A., 1834",
215,822512,Curculionidae,Cydianerus,latruncularius,"Cydianerus latruncularius (Perty, 1832)",
216,,Curculionidae,Polydacrys,modestus,"Polydacrys modestus Gyllenhal, 1834",
217,1467485,Attelabidae,Pterocolus,grossus,"Pterocolus grossus Sharp, 1890",
218,1636771,Curculionidae,Apodrosus,alternatus,"Apodrosus alternatus Anderson, 2017",
219,10498,Attelabidae,Eugnamptus,,"Eugnamptus C.J.Schoenherr, 1839",
220,920429,Anthribidae,Corrhecerus,,"Corrhecerus C.J.Schoenherr, 1826",
221,29210,Anthribidae,Neoxenus,,"Neoxenus Valentine, 1998",
222,1351386,Anthribidae,Nemotrichus,armatus,"Nemotrichus armatus Jordan, 1904",
223,8761,Curculionidae,Colecerus,marmoratus,"Colecerus marmoratus Horn, 1876",
224,1632206,Curculionidae,Macrostylus,,"Macrostylus Boheman, 1840",
225,645953,Curculionidae,Tylomus,fuscomaculatus,"Tylomus fuscomaculatus Kuschel, 1955",
226,6515,Curculionidae,Zygops,,"Zygops C.J.Schoenherr, 1825",
227,645923,Curculionidae,Hoplocopturus,javeti,"Hoplocopturus javeti Champion, 1906",
228,5636,Curculionidae,Lechriops,,"Lechriops C.J.Schoenherr, 1825",
229,594034,Curculionidae,Exophthalmus,jekelianus,"Exophthalmus jekelianus White, 1858",
230,4990,Curculionidae,Chalcodermus,,"Chalcodermus Dejean & P.F.M.A., 1835",
231,923007,Curculionidae,Dreuxetes,,"Dreuxetes J.F.Voisin, 1994",
232,596099,Curculionidae,Pseudanchonus,,"Pseudanchonus J.Faust, 1892",
233,822881,Curculionidae,Cylindrocerus,circumlineatus,"Cylindrocerus circumlineatus G.C.Champion, 1908",
234,645922,Curculionidae,Macrocopturus,,"Macrocopturus K.M.Heller, 1895",
235,656278,Curculionidae,Isotrachelus,tibialis,"Isotrachelus tibialis Champion, 1906",
236,645946,Curculionidae,Hoplocopturus,costatipennis,"Hoplocopturus costatipennis Champion, 1906",
237,645906,Dryophthoridae,Cactophagus,circumdatus,Cactophagus circumdatus,
238,1634856,Curculionidae,Lechriops,exsculptus,"Lechriops exsculptus Champion, 1906",
239,4774,Curculionidae,Anchonus,,"Anchonus C.J.Schoenherr, 1825",
240,656370,Curculionidae,Peridinetus,ecuadoricus,"Peridinetus ecuadoricus Casey, 1922",
241,645919,Curculionidae,Piazurus,maculipes,"Piazurus maculipes Gyll., 1838",
242,1307444,Curculionidae,Macrostylus,pustulatus,"Macrostylus pustulatus Champion, 1911",
243,645916,Curculionidae,Piazurus,trifoveatus,"Piazurus trifoveatus Champion, 1906",
244,946388,Brentidae,Raphirhynchus,,"Raphirhynchus Dejean, 1834",
245,487246,Curculionidae,Macrocopturus,deplanus,"Macrocopturus deplanus (J.C.Fabricius, 1802)",
246,517080,Curculionidae,Mnemynurus,,"Mnemynurus K.M.Heller, 1895",
247,517095,Curculionidae,Piazurus,caprimulgus,"Piazurus caprimulgus Schoenherr, 1838",
248,980050,Brentidae,Acratus,apicalis,"Acratus apicalis Sharp, 1895",
249,487225,Curculionidae,Hoplocopturus,,"Hoplocopturus K.M.Heller, 1895",
250,517081,Curculionidae,Mnemynurus,championi,"Mnemynurus championi Heller, 1933",
251,5003,Curculionidae,Cholus,,"Cholus E.F.Germar, 1823",
252,294256,Brentidae,Paratrachelizus,,"Paratrachelizus Kleine, 1921",
253,1163024,Curculionidae,Eubulus,inaequalis,"Eubulus inaequalis Champion, 1905",
254,484355,Curculionidae,Epistrophus,,"Epistrophus T.Kirsch, 1868",
255,487347,Anthribidae,Meconemus,infuscatus,"Meconemus infuscatus Fahrs., 1839",
256,1545675,Curculionidae,Staseas,granulatus,"Staseas granulatus Champion, 1906",
257,5150,Curculionidae,Conotrachelus,,"Conotrachelus Dejean & P.F.M.A., 1835",
258,8095,Dryophthoridae,Cactophagus,,"Cactophagus J.L.LeConte, 1876",
259,645924,Curculionidae,Hoplocopturus,mariae,"Hoplocopturus mariae Champion, 1906",
260,481877,Curculionidae,Peltophorus,polymitus,"Peltophorus polymitus Boheman, 1845",
261,16334,Dryophthoridae,Stenommatus,,"Stenommatus T.V.Wollaston, 1873",
262,487249,Curculionidae,Paramnemyne,decemcostata,"Paramnemyne decemcostata Champion, 1906",
263,945945,Curculionidae,Ptinopsis,,"Ptinopsis G.C.Champion, 1906",
264,497641,Anthribidae,Neanthribus,,"Neanthribus K.Jordan, 1906",
265,5811,Curculionidae,Myrmex,,"Myrmex J.Sturm, 1826",
266,516504,Curculionidae,Macrocopturus,linter,"Macrocopturus linter Heller, 1895",
267,645918,Curculionidae,Piazurus,alternans,"Piazurus alternans Kirsch, 1875",
268,484066,Curculionidae,Microzygops,,"Microzygops G.C.Champion, 1906",
269,645920,Curculionidae,Macrocopturus,,"Macrocopturus K.M.Heller, 1895",
270,645928,Curculionidae,Pseudopiazurus,centraliamericanus,"Pseudopiazurus centraliamericanus Heller, 1906",
271,1414754,Curculionidae,Peridinetus,stigmatipleura,"Peridinetus stigmatipleura G.C.Champion, 1907",
272,517094,Curculionidae,Cratosomus,lafontii,"Cratosomus lafontii Guérin-Méneville, 1844",
273,645974,Curculionidae,Lepidobaris,opacipennis,"Lepidobaris opacipennis G.C.Champion, 1909",
274,655308,Curculionidae,Pantoteles,marmoratus,"Pantoteles marmoratus G.C.Champion, 1907",
275,497543,Anthribidae,Homocloeus,pardalis,"Homocloeus pardalis Jordan, 1906",
276,655782,Curculionidae,Eustylus,sexguttatus,"Eustylus sexguttatus Champion, 1911",
277,645914,Curculionidae,Lissoderes,subnudus,"Lissoderes subnudus Champion, 1906",
278,1602588,Curculionidae,Udeus,eugnomoides,"Udeus eugnomoides Champion, 1902",
279,5892,Curculionidae,Odontopus,,"Odontopus Say & T., 1832",
280,656269,Curculionidae,Heilus,,"Heilus G.Kuschel, 1955",
281,645975,Curculionidae,Madarus,bilineatus,"Madarus bilineatus G.C.Champion, 1908",
282,1307429,Curculionidae,Macrostylus,lineatocollis,"Macrostylus lineatocollis Champion, 1911",
283,517096,Curculionidae,Arachnomorpha,circumlineata,"Arachnomorpha circumlineata Champion, 1906",
284,1211807,Brentidae,Hephebocerus,mexicanus,"Hephebocerus mexicanus Sharp, 1895",
285,774862,Brentidae,Brentus,approximatus,"Brentus approximatus Erichson, 1847",
286,5168,Curculionidae,Cossonus,,"Cossonus Clairville, 1798",
287,656371,Curculionidae,Peridinetus,laetus,"Peridinetus laetus G.C.Champion, 1907",
288,645917,Curculionidae,Piazurus,laetus,"Piazurus laetus Pasc., 1888",
289,645911,Curculionidae,Pseudolechriops,klopferi,"Pseudolechriops klopferi Hespenheide & LaPierre, 2006",
290,1632194,Brentidae,Chrysapion,,"Chrysapion Kissinger, 1968",
291,1632226,Curculionidae,Lamprobaris,cucullata,"Lamprobaris cucullata G.C.Champion, 1908",
292,645976,Curculionidae,Cylindrocerus,comma,"Cylindrocerus comma Schoenherr, 1826",
293,918644,Curculionidae,Cestophorus,,"Cestophorus J.Faust, 1892",
294,1634861,Curculionidae,Hoplocopturus,cavernosus,"Hoplocopturus cavernosus Champion, 1925",
295,1210436,Curculionidae,Hemiliopsis,nudicollis,"Hemiliopsis nudicollis Champion, 1905",
296,484069,Curculionidae,Zygops,tridentatus,"Zygops tridentatus Gyllenhal, 1838",
297,6326,Staphylinidae,Stenus,,"Stenus Latreille, 1797",
298,6048,Staphylinidae,Philonthus,,"Philonthus Stephens, 1829",
299,655777,Staphylinidae,,,Staphylinidae,
300,496839,Staphylinidae,Styngetus,,"Styngetus Sharp, 1884",
301,603925,Scarabaeidae,Cyclocephala,guianae,"Cyclocephala guianae Endrödi, 1969",
302,597771,Cerambycidae,Hylettus,spilotus,"Hylettus spilotus Monné, 1982",
303,440113,Scarabaeidae,Cyclocephala,bicolor,"Cyclocephala bicolor Castelnau, 1840",
304,603953,Scarabaeidae,Cyclocephala,simulatrix,"Cyclocephala simulatrix Höhne, 1923",
305,597844,Cerambycidae,Nyssodrysina,binoculata,"Nyssodrysina binoculata (Bates, 1864)",
306,603803,Scarabaeidae,Cyclocephala,boucheri,"Cyclocephala boucheri Dechambre, 1997",
307,625403,Scarabaeidae,Oxyligyrus,champenoisi,"Moraguesia champenoisi Dechambre, 2008",
308,604349,Scarabaeidae,Strategus,aloeus,"Strategus aloeus (Linnaeus, 1758)",
309,597976,Cerambycidae,Oreodera,neglecta,"Oreodera neglecta Melzer, 1932",
310,604086,Scarabaeidae,Mimeoma,signatoides,"Mimeoma signatoides (Höhne, 1923)",
311,597789,Cerambycidae,Leptostylus,plautus,"Leptostylus plautus Monné & Hoffmann, 1981",
312,603984,Scarabaeidae,Cyclocephala,undata,"Cyclocephala undata (Olivier, 1789)",
313,604306,Scarabaeidae,Oxyligyrus,zoilus,"Oxyligyrus zoilus (Olivier, 1789)",
314,603843,Scarabaeidae,Cyclocephala,colasi,"Cyclocephala colasi Endrödi, 1964",
315,597022,Scarabaeidae,Cyclocephala,testacea,"Cyclocephala testacea Burmeister, 1847",
316,603942,Scarabaeidae,Cyclocephala,picipes,"Cyclocephala picipes (Olivier, 1789)",
317,603883,Scarabaeidae,Cyclocephala,diluta,"Cyclocephala diluta Erichson, 1847",
318,603962,Scarabaeidae,Cyclocephala,stictica,"Cyclocephala stictica Burmeister, 1847",
319,713042,Scarabaeidae,Euligyrus,similis,"Tomarus similis (Endrödi, 1968)",
