location_id,koppen_code,vegetation_zone,country_derived
171,Am,Tropischer Regenwald,Bolivia
172,Cfb,Tropischer Regenwald,Panama
173,Am,Tropischer Regenwald,Bolivia
174,Aw,,
175,Aw,Tropischer Regenwald,Mexico
176,Aw,Tropischer Regenwald,Honduras
177,Aw,Tropischer Nadelwald,Mexico
178,Aw,Tropischer Regenwald,Bolivia
179,Am,Tropischer Nadelwald,Guatemala
180,Am,Tropischer Regenwald,
181,Af,Tropischer Regenwald,Guyana
182,BSh,Tropischer Trockenwald,Mexico
183,Cfb,Tropischer Regenwald,Panama
184,,Tropischer Nadelwald,Mexico
185,BSh,Mangroven,Dominican Republic
186,Aw,Tropischer Nadelwald,Dominican Republic
187,Af,Tropischer Regenwald,Bolivia
188,Am,Tropischer Regenwald,Bolivia
189,Aw,Mangroven,
190,Am,Tropischer Nadelwald,Cuba
191,Aw,Tropischer Nadelwald,Mexico
192,BWh,,
193,Af,Tropischer Regenwald,Belize
194,Af,Tropischer Regenwald,Costa Rica
195,Cfb,Tropischer Regenwald,Guatemala
196,Cwb,Tropischer Nadelwald,Mexico
197,Aw,,
198,Aw,Mangroven,
199,Af,Tropischer Regenwald,Mexico
200,Cfb,Tropischer Nadelwald,Mexico
201,BSh,Tropischer Nadelwald,Mexico
202,Cwb,Tropischer Nadelwald,Mexico
203,Cwb,Tropischer Nadelwald,Guatemala
204,Cfa,Tropisches Grasland / Savanne,Uruguay
205,Cfa,Tropischer Regenwald,Mexico
206,Am,Tropischer Regenwald,Panama
207,Aw,,
208,Af,Tropischer Regenwald,Belize
209,Aw,Tropisches Grasland / Savanne,Brazil
210,Aw,Mangroven,Belize
211,Af,Tropischer Regenwald,Suriname
212,Cfb,Tropischer Regenwald,Ecuador
213,Aw,,
214,Aw,Tropischer Nadelwald,
215,Aw,Tropischer Nadelwald,
216,Af,Tropischer Regenwald,Costa Rica
217,Aw,Tropischer Nadelwald,Nicaragua
218,Cfb,Tropischer Regenwald,Guatemala
219,Af,Tropischer Regenwald,Costa Rica
220,BSh,Tropischer Trockenwald,Mexico
221,Am,Tropischer Regenwald,Nicaragua
222,Am,Tropischer Regenwald,Guatemala
223,Am,Tropischer Regenwald,Mexico
224,Aw,Tropischer Trockenwald,Mexico
225,Aw,Tropischer Trockenwald,Mexico
226,Af,Tropischer Regenwald,Peru
227,Aw,Tropischer Nadelwald,Mexico
228,Aw,Tropischer Nadelwald,Guatemala
229,BWh,Wüste / Trockengebiete,Mexico
230,BSk,Wüste / Trockengebiete,Mexico
231,Cfa,Tropischer Regenwald,Mexico
232,Cfb,Tropischer Regenwald,Guatemala
233,Aw,Tropischer Nadelwald,Nicaragua
234,Cwb,Tropischer Trockenwald,Mexico
235,Aw,,
236,Aw,Tropischer Trockenwald,
237,BSh,Tropischer Trockenwald,Mexico
238,Af,Tropischer Regenwald,
239,Am,Tropischer Regenwald,Honduras
240,Aw,Tropischer Nadelwald,Mexico
241,Aw,Tropischer Regenwald,Bolivia
242,Af,Tropischer Regenwald,Peru
243,Aw,Tropischer Nadelwald,
244,Aw,Tropischer Trockenwald,Mexico
245,Aw,,
246,Af,Tropischer Regenwald,
247,Aw,Tropischer Nadelwald,
248,Af,Tropischer Regenwald,Costa Rica
249,Am,Tropischer Regenwald,Guatemala
250,Cfa,Tropisches Grasland / Savanne,Uruguay
251,Cwb,Wüste / Trockengebiete,Mexico
252,Am,Tropischer Regenwald,Panama
253,BSh,Tropischer Trockenwald,Mexico
254,Aw,Tropischer Trockenwald,Mexico
255,Cwb,Tropischer Nadelwald,Mexico
256,Aw,Tropischer Trockenwald,Mexico
257,Aw,Wüste / Trockengebiete,Guatemala
258,Cwb,Tropischer Nadelwald,Guatemala
259,Af,Tropischer Regenwald,French Guiana
260,Aw,Tropischer Trockenwald,Mexico
261,BSk,Wüste / Trockengebiete,Mexico
262,Am,Tropischer Regenwald,Guatemala
263,Am,Tropischer Regenwald,Ecuador
264,Af,Tropischer Regenwald,Panama
265,Cwb,Tropischer Regenwald,Bolivia
266,Af,Tropischer Regenwald,Peru
267,Am,Tropischer Regenwald,Bolivia
268,Af,Tropischer Regenwald,
269,Aw,Wüste / Trockengebiete,Guatemala
270,Aw,Tropischer Nadelwald,
271,Aw,Mangroven,
272,Cwb,Tropischer Nadelwald,Mexico
273,Af,Tropischer Regenwald,Cuba
274,Af,Tropischer Regenwald,Costa Rica
275,Cwa,Tropischer Nadelwald,Mexico
276,Am,Tropischer Regenwald,Panama
277,Af,Tropischer Regenwald,Peru
278,Af,Tropischer Regenwald,French Guiana
279,Am,Tropischer Regenwald,Guatemala
280,Aw,Tropischer Regenwald,Mexico
281,Cwa,,Mexico
282,Af,Tropischer Regenwald,
283,Cwa,Tropischer Regenwald,Mexico
284,Cwb,Tropischer Nadelwald,Mexico
285,BSh,Wüste / Trockengebiete,
286,BSh,Mangroven,Dominican Republic
287,Af,Tropischer Regenwald,
288,Af,Tropischer Regenwald,Costa Rica
289,Aw,Tropischer Nadelwald,Cuba
290,Aw,Tropischer Regenwald,Panama
291,Aw,Tropischer Regenwald,Panama
292,Am,Tropischer Regenwald,Panama
293,Am,Tropischer Regenwald,Panama
294,Cfb,Tropischer Regenwald,Panama
295,Aw,Tropischer Regenwald,Panama
296,Am,Tropischer Regenwald,Panama
297,Aw,Tropischer Regenwald,Panama
298,Aw,Tropischer Regenwald,Panama
299,Am,Tropischer Regenwald,Panama
300,Af,Tropischer Regenwald,Panama
301,Am,Tropischer Regenwald,Panama
302,Aw,Tropischer Regenwald,Panama
303,Af,Tropischer Regenwald,Panama
304,Am,Tropischer Regenwald,Panama
305,Cfb,Tropischer Regenwald,Panama
306,Am,Tropischer Regenwald,Panama
307,Am,Tropischer Regenwald,Panama
308,Aw,Tropischer Nadelwald,Nicaragua
309,Aw,Tropischer Trockenwald,Mexico
310,Af,Tropischer Regenwald,Panama
311,Csa,Tropischer Nadelwald,Mexico
312,Af,Tropischer Regenwald,Panama
313,Aw,Tropischer Trockenwald,Panama
314,Am,Tropischer Regenwald,Panama
315,Am,Tropischer Regenwald,Panama
316,Aw,Tropischer Regenwald,Panama
317,Am,Tropischer Regenwald,Panama
318,Am,Tropischer Regenwald,Panama
319,Am,Tropischer Regenwald,Panama
320,Am,Tropischer Regenwald,Panama
321,Af,Tropischer Regenwald,Ecuador
322,Af,Tropischer Regenwald,Peru
323,Af,Tropischer Regenwald,Peru
324,Af,Tropischer Regenwald,Ecuador
325,Af,Tropischer Regenwald,Ecuador
326,Af,Tropischer Regenwald,Ecuador
327,Af,Tropischer Regenwald,Peru
328,Af,Tropischer Regenwald,Ecuador
329,Af,Tropischer Regenwald,Ecuador
330,Cfb,Tropischer Regenwald,Peru
331,Cfb,Tropischer Regenwald,Peru
332,Af,Tropischer Regenwald,Peru
333,Af,Tropischer Regenwald,Ecuador
334,Af,Tropischer Regenwald,Ecuador
335,Af,Tropischer Regenwald,Peru
336,Af,Tropischer Regenwald,Ecuador
337,Af,Tropischer Regenwald,Ecuador
338,Af,Tropischer Regenwald,Ecuador
339,Af,Tropischer Regenwald,Ecuador
340,Af,Tropischer Regenwald,Ecuador
341,Af,Tropischer Regenwald,Peru
342,Af,Tropischer Regenwald,Ecuador
343,Aw,,Mexico
344,Am,Tropischer Nadelwald,Guatemala
345,Cwb,Tropischer Nadelwald,Guatemala
346,Cwb,Tropischer Regenwald,Guatemala
347,Am,Tropischer Nadelwald,Guatemala
348,Am,Tropischer Regenwald,French Guiana
349,Af,Tropischer Regenwald,French Guiana
350,Af,Tropischer Regenwald,French Guiana
351,Af,Tropischer Regenwald,French Guiana
352,Am,Tropischer Regenwald,French Guiana
353,Am,Tropischer Regenwald,French Guiana
354,Af,Tropischer Regenwald,French Guiana
355,Af,Tropischer Regenwald,French Guiana
356,Am,Mangroven,French Guiana
357,Am,Tropischer Regenwald,French Guiana
358,Af,Tropischer Regenwald,French Guiana
359,Am,Tropischer Regenwald,French Guiana
360,Af,Tropischer Regenwald,French Guiana
361,Am,Mangroven,French Guiana
362,Am,Tropischer Regenwald,French Guiana
363,Af,Tropischer Regenwald,French Guiana
364,Am,Tropischer Regenwald,French Guiana
365,Am,Tropischer Regenwald,French Guiana
366,Af,Tropischer Regenwald,French Guiana
367,Am,Mangroven,French Guiana
368,Af,Tropischer Regenwald,French Guiana
369,Am,Tropischer Regenwald,French Guiana
370,Af,Tropischer Regenwald,French Guiana
371,Af,Tropischer Regenwald,French Guiana
372,Am,Mangroven,French Guiana
373,Am,Tropischer Regenwald,French Guiana
374,Af,Tropischer Regenwald,French Guiana
375,Am,Tropischer Regenwald,French Guiana
376,Af,Tropischer Regenwald,French Guiana
377,Am,Mangroven,French Guiana
378,Am,Tropischer Regenwald,French Guiana
379,Am,Tropischer Regenwald,French Guiana
380,Am,Tropischer Regenwald,French Guiana
381,Am,Tropischer Regenwald,French Guiana
382,Af,Tropischer Regenwald,French Guiana
383,Af,Tropischer Regenwald,French Guiana
384,Am,Mangroven,French Guiana
385,Af,Tropischer Regenwald,French Guiana
386,Af,Tropischer Regenwald,French Guiana
387,Am,Mangroven,French Guiana
388,Am,Mangroven,French Guiana
389,Af,Tropischer Regenwald,French Guiana
390,Af,Tropischer Regenwald,French Guiana
391,Af,Tropischer Regenwald,French Guiana
392,Af,Tropischer Regenwald,French Guiana
393,Am,Mangroven,French Guiana
394,Am,,
395,Am,Tropischer Regenwald,French Guiana
396,Am,Tropischer Regenwald,French Guiana
397,Af,Tropischer Regenwald,French Guiana
398,Am,Tropischer Regenwald,French Guiana
399,Am,Mangroven,French Guiana
400,Af,Tropischer Regenwald,French Guiana
401,Af,Tropischer Regenwald,French Guiana
402,Af,Tropischer Regenwald,French Guiana
403,Af,Tropischer Regenwald,French Guiana
404,Am,Tropischer Regenwald,French Guiana
405,Af,Tropischer Regenwald,French Guiana
406,Af,Tropischer Regenwald,French Guiana
407,Af,Tropischer Regenwald,French Guiana
408,Af,Tropischer Regenwald,French Guiana
409,Af,Tropischer Regenwald,French Guiana
410,Am,Mangroven,French Guiana
411,Am,Tropischer Regenwald,French Guiana
412,Af,Tropischer Regenwald,French Guiana
413,Af,Tropischer Regenwald,French Guiana
414,Am,Tropischer Regenwald,French Guiana
415,Af,Tropischer Regenwald,French Guiana
416,Af,Tropischer Regenwald,French Guiana
417,Am,Mangroven,French Guiana
418,Af,Tropischer Regenwald,French Guiana
419,Af,Tropischer Regenwald,French Guiana
420,Af,Tropischer Regenwald,French Guiana
421,Am,Tropischer Regenwald,French Guiana
422,Am,Tropischer Regenwald,French Guiana
423,Am,Tropischer Regenwald,French Guiana
424,Af,Tropischer Regenwald,French Guiana
425,Am,Tropischer Regenwald,French Guiana
426,Am,Mangroven,
427,Am,Mangroven,French Guiana
428,Am,,French Guiana
429,Af,Tropischer Regenwald,French Guiana
430,Af,Tropischer Regenwald,French Guiana
431,Af,Tropischer Regenwald,French Guiana
432,Am,Tropischer Regenwald,French Guiana
433,Am,Tropischer Regenwald,French Guiana
434,Af,Tropischer Regenwald,French Guiana
435,Am,Tropischer Regenwald,French Guiana
436,Am,Tropischer Regenwald,French Guiana
437,Af,Tropischer Regenwald,French Guiana
438,Af,Tropischer Regenwald,French Guiana
439,Af,Tropischer Regenwald,French Guiana
440,Am,Tropischer Regenwald,French Guiana
441,Af,Tropischer Regenwald,French Guiana
442,Af,Tropischer Regenwald,French Guiana
443,Af,Tropischer Regenwald,French Guiana
444,Af,Tropischer Regenwald,French Guiana
445,Af,Tropischer Regenwald,French Guiana
446,Am,Tropischer Regenwald,French Guiana
447,Af,Tropischer Regenwald,French Guiana
448,Am,Mangroven,
449,Am,Tropischer Regenwald,French Guiana
450,Af,Tropischer Regenwald,French Guiana
451,Af,Tropischer Regenwald,French Guiana
452,Af,Tropischer Regenwald,French Guiana
453,Af,Tropischer Regenwald,French Guiana
454,Af,Tropischer Regenwald,French Guiana
455,Am,Tropischer Regenwald,French Guiana
456,Am,Tropischer Regenwald,French Guiana
457,Af,Tropischer Regenwald,French Guiana
458,Af,Tropischer Regenwald,French Guiana
459,Af,Tropischer Regenwald,French Guiana
460,Am,Tropischer Regenwald,French Guiana
461,Af,Tropischer Regenwald,French Guiana
462,Af,Tropischer Regenwald,French Guiana
463,Af,Tropischer Regenwald,French Guiana
464,Af,Tropischer Regenwald,French Guiana
465,Am,Mangroven,French Guiana
466,Af,Tropischer Regenwald,French Guiana
467,Af,Tropischer Regenwald,French Guiana
468,Am,,
469,Am,Tropischer Regenwald,French Guiana
470,Af,Tropischer Regenwald,French Guiana
471,Am,Tropischer Regenwald,French Guiana
472,Af,Tropischer Regenwald,French Guiana
473,Af,Tropischer Regenwald,French Guiana
474,Af,Tropischer Regenwald,
475,Af,Tropischer Regenwald,French Guiana
476,Af,Tropischer Regenwald,French Guiana
477,Am,Tropischer Regenwald,French Guiana
478,Af,Tropischer Regenwald,French Guiana
479,Am,Tropischer Regenwald,French Guiana
480,Af,Tropischer Regenwald,French Guiana
481,Af,Tropischer Regenwald,French Guiana
482,Am,Mangroven,French Guiana
483,Af,Tropischer Regenwald,French Guiana
484,Am,Mangroven,French Guiana
485,Am,Tropischer Regenwald,French Guiana
486,Af,Tropischer Regenwald,French Guiana
487,Af,Tropischer Regenwald,French Guiana
488,Af,Tropischer Regenwald,French Guiana
489,Af,Tropischer Regenwald,French Guiana
490,Am,Tropischer Regenwald,French Guiana
491,Am,Mangroven,French Guiana
492,Af,Tropischer Regenwald,French Guiana
493,Am,Tropischer Regenwald,French Guiana
494,Af,Tropischer Regenwald,French Guiana
495,Af,Tropischer Regenwald,French Guiana
496,Af,Tropischer Regenwald,French Guiana
497,Am,Tropischer Regenwald,French Guiana
498,Af,Tropischer Regenwald,French Guiana
499,Af,Tropischer Regenwald,French Guiana
500,Am,Tropischer Regenwald,French Guiana
501,Am,Mangroven,French Guiana
502,Af,Tropischer Regenwald,French Guiana
503,Am,Mangroven,French Guiana
504,Af,Tropischer Regenwald,French Guiana
505,Af,Tropischer Regenwald,French Guiana
506,Af,Tropischer Regenwald,French Guiana
507,Af,Tropischer Regenwald,French Guiana
508,Af,Tropischer Regenwald,French Guiana
509,Af,Tropischer Regenwald,French Guiana
510,Af,Tropischer Regenwald,French Guiana
511,Af,Tropischer Regenwald,French Guiana
512,Af,Tropischer Regenwald,French Guiana
513,Am,Mangroven,French Guiana
514,Am,Mangroven,French Guiana
515,Am,Tropischer Regenwald,French Guiana
516,Af,Tropischer Regenwald,French Guiana
517,Am,,French Guiana
518,Af,Tropischer Regenwald,French Guiana
519,Af,Tropischer Regenwald,French Guiana
520,Af,Tropischer Regenwald,French Guiana
521,Af,Tropischer Regenwald,French Guiana
522,Af,Tropischer Regenwald,French Guiana
523,Am,Tropischer Regenwald,French Guiana
524,Af,Tropischer Regenwald,French Guiana
525,Am,Tropischer Regenwald,French Guiana
526,Af,Tropischer Regenwald,French Guiana
527,Am,Mangroven,
528,Am,,French Guiana
529,Am,Mangroven,French Guiana
530,Af,Tropischer Regenwald,French Guiana
531,Af,Tropischer Regenwald,French Guiana
532,Af,Tropischer Regenwald,French Guiana
533,Am,Tropischer Regenwald,French Guiana
534,Af,Tropischer Regenwald,French Guiana
535,Af,Tropischer Regenwald,French Guiana
536,Af,Tropischer Regenwald,French Guiana
537,Af,Tropischer Regenwald,French Guiana
538,Am,Mangroven,
539,Am,Tropischer Regenwald,French Guiana
540,Af,Tropischer Regenwald,French Guiana
541,Af,Tropischer Regenwald,French Guiana
542,Af,Tropischer Regenwald,French Guiana
543,Af,Tropischer Regenwald,French Guiana
544,Af,Tropischer Regenwald,French Guiana
545,Af,Tropischer Regenwald,French Guiana
546,Am,,French Guiana
547,Am,Tropischer Regenwald,French Guiana
548,Af,Tropischer Regenwald,French Guiana
549,Am,Mangroven,French Guiana
550,Af,Tropischer Regenwald,French Guiana
551,Am,,
552,Af,Tropischer Regenwald,French Guiana
553,Am,Tropischer Regenwald,French Guiana
554,Am,Mangroven,French Guiana
555,Am,Tropischer Regenwald,French Guiana
556,Am,Tropischer Regenwald,Brazil
557,Am,Mangroven,French Guiana
558,Am,Tropischer Regenwald,French Guiana
559,Am,Mangroven,French Guiana
560,Af,Tropischer Regenwald,French Guiana
561,Af,Tropischer Regenwald,French Guiana
562,Am,Mangroven,
563,Am,Tropischer Regenwald,French Guiana
564,Af,Tropischer Regenwald,French Guiana
565,Af,Tropischer Regenwald,French Guiana
566,Am,Mangroven,French Guiana
567,Af,Tropischer Regenwald,French Guiana
568,Af,Tropischer Regenwald,French Guiana
569,Af,Tropischer Regenwald,French Guiana
570,Af,Tropischer Regenwald,French Guiana
571,Af,Tropischer Regenwald,French Guiana
572,Am,Tropischer Regenwald,French Guiana
573,Am,Tropischer Regenwald,French Guiana
574,Af,Tropischer Regenwald,French Guiana
575,Am,Tropischer Regenwald,French Guiana
576,Af,Tropischer Regenwald,French Guiana
577,Af,Tropischer Regenwald,French Guiana
578,Af,Tropischer Regenwald,French Guiana
579,Af,Tropischer Regenwald,French Guiana
580,Af,Tropischer Regenwald,French Guiana
581,Af,Tropischer Regenwald,French Guiana
582,Am,Tropischer Regenwald,French Guiana
583,Af,Tropischer Regenwald,French Guiana
584,Am,Tropischer Regenwald,French Guiana
585,Am,Tropischer Regenwald,French Guiana
586,Am,Tropischer Regenwald,French Guiana
587,Am,Tropischer Regenwald,French Guiana
588,Am,Mangroven,French Guiana
589,Am,Tropischer Regenwald,French Guiana
590,Af,Tropischer Regenwald,French Guiana
591,Cfb,Tropischer Nadelwald,Dominican Republic
592,Af,Wüste / Trockengebiete,
593,Af,Wüste / Trockengebiete,
594,Af,,
595,Af,,
596,BWh,Wüste / Trockengebiete,Colombia
597,Aw,Tropischer Trockenwald,Bolivia
598,,Tropischer Regenwald,Bolivia
599,Cfa,Tropisches Grasland / Savanne,Uruguay
600,Aw,Tropischer Regenwald,Peru
601,Aw,Tropisches Grasland / Savanne,Paraguay
602,Cfb,Tropischer Regenwald,Bolivia
603,Am,Tropischer Regenwald,Bolivia
604,Aw,Tropischer Trockenwald,Costa Rica
605,BSh,Tropischer Nadelwald,Mexico
606,Aw,Tropischer Regenwald,Mexico
608,BSh,Tropischer Trockenwald,Bolivia
609,Am,Tropischer Regenwald,Bolivia
610,Cwb,Tropischer Regenwald,Bolivia
611,Aw,Tropischer Trockenwald,Bolivia
612,Aw,Tropischer Regenwald,Brazil
613,Cwb,Tropischer Regenwald,Bolivia
614,Af,Tropischer Regenwald,Costa Rica
615,Af,Mangroven,Ecuador
616,Af,Tropischer Regenwald,Costa Rica
617,Cfb,Tropischer Regenwald,Bolivia
618,Cwb,Tropischer Regenwald,Bolivia
619,Cwb,Tropischer Trockenwald,Bolivia
620,Cfa,Tropischer Regenwald,Paraguay
621,Aw,Tropischer Regenwald,Bolivia
622,Aw,Tropischer Trockenwald,Costa Rica
623,ET,Gebirgs-Grasland,Bolivia
624,BWh,Wüste / Trockengebiete,Mexico
625,Cfa,Tropischer Regenwald,Brazil
626,Aw,Tropischer Trockenwald,Costa Rica
627,Am,Tropischer Regenwald,Bolivia
628,Cwb,Tropischer Regenwald,Bolivia
629,Aw,,Panama
630,Cfb,Tropischer Regenwald,Bolivia
631,Aw,Tropischer Trockenwald,
632,Cwb,Tropischer Regenwald,Bolivia
633,Cwb,Tropischer Trockenwald,Bolivia
634,Af,Tropischer Regenwald,Costa Rica
635,Am,Tropischer Trockenwald,Bolivia
636,Af,Tropischer Regenwald,Costa Rica
637,Cfa,Tropisches Grasland / Savanne,Uruguay
638,BSk,Tropischer Nadelwald,Mexico
639,Aw,Tropisches Grasland / Savanne,Bolivia
640,Af,Tropischer Regenwald,Bolivia
641,Aw,Tropischer Regenwald,Peru
642,Af,Tropischer Regenwald,Costa Rica
643,Am,Tropischer Regenwald,Panama
644,Af,Tropischer Regenwald,Bolivia
645,,,Bolivia
646,Am,Tropischer Regenwald,Honduras
647,Af,Tropischer Regenwald,Bolivia
648,Cwb,Tropischer Regenwald,Bolivia
649,,Tropischer Regenwald,Bolivia
650,Cwb,Tropischer Nadelwald,Mexico
651,Cwb,Tropischer Nadelwald,Mexico
652,Am,Tropischer Regenwald,Panama
653,Cwb,Tropischer Nadelwald,Guatemala
654,Cfb,Tropischer Regenwald,Guatemala
